Materail,Hi Carbon,,,,,,
,,,,,,,
Tool diameter,S,F,Cutting speed,Feed speed per tooth,Cycle,Q,Number of tooth
1,2000,70,6.283 ,0.018,G83,0.2,2
1.1,2000,70,6.911 ,0.018,G83,0.2,2
1.2,2000,70,7.540 ,0.018,G83,0.2,2
1.3,2000,70,8.168 ,0.018,G83,0.2,2
1.4,2000,70,8.796 ,0.018,G83,0.2,2
1.5,2000,70,9.425 ,0.018,G83,0.2,2
1.6,2000,70,10.053 ,0.018,G83,0.2,2
1.7,2000,70,10.681 ,0.018,G83,0.2,2
1.8,2000,70,11.310 ,0.018,G83,0.2,2
1.9,2000,70,11.938 ,0.018,G83,0.2,2
2,2000,70,12.566 ,0.018,G83,0.5,2
2.1,2000,70,13.195 ,0.018,G83,0.5,2
2.2,2000,70,13.823 ,0.018,G83,0.5,2
2.3,2000,70,14.451 ,0.018,G83,0.5,2
2.4,2000,70,15.080 ,0.018,G83,0.5,2
2.5,2000,70,15.708 ,0.018,G83,0.5,2
2.6,2000,70,16.336 ,0.018,G83,0.5,2
2.7,2000,70,16.965 ,0.018,G83,0.5,2
2.8,2000,70,17.593 ,0.018,G83,0.5,2
2.9,2000,70,18.221 ,0.018,G83,0.5,2
3,1500,70,14.137 ,0.023,G83,1,2
3.1,1500,70,14.608 ,0.023,G83,1,2
3.2,1500,70,15.080 ,0.023,G83,1,2
3.3,1500,70,15.551 ,0.023,G83,1,2
3.4,1500,70,16.022 ,0.023,G83,1,2
3.5,1500,70,16.493 ,0.023,G83,1,2
3.6,1500,70,16.965 ,0.023,G83,1,2
3.7,1500,70,17.436 ,0.023,G83,1,2
3.8,1500,70,17.907 ,0.023,G83,1,2
3.9,1500,70,18.378 ,0.023,G83,1,2
4,1200,70,15.080 ,0.029,G83,1,2
4.1,1200,70,15.457 ,0.029,G83,1,2
4.2,1200,70,15.834 ,0.029,G83,1,2
4.3,1200,70,16.211 ,0.029,G83,1,2
4.4,1200,68,16.588 ,0.028,G83,1,2
4.5,1200,68,16.965 ,0.028,G83,1,2
4.6,1200,68,17.342 ,0.028,G83,1,2
4.7,1200,68,17.719 ,0.028,G83,1,2
4.8,1200,68,18.096 ,0.028,G83,1,2
4.9,1200,68,18.473 ,0.028,G83,1,2
5,900,66,14.137 ,0.037,G83,1,2
5.1,900,66,14.420 ,0.037,G83,1,2
5.2,900,66,14.703 ,0.037,G83,1,2
5.3,900,66,14.985 ,0.037,G83,1,2
5.4,900,66,15.268 ,0.037,G83,1,2
5.5,900,64,15.551 ,0.036,G83,1,2
5.6,900,64,15.834 ,0.036,G83,1,2
5.7,900,64,16.116 ,0.036,G83,1,2
5.8,900,64,16.399 ,0.036,G83,1,2
5.9,900,64,16.682 ,0.036,G83,1,2
6,750,63,14.137 ,0.042,G83,1,2
6.1,750,63,14.373 ,0.042,G83,1,2
6.2,750,63,14.608 ,0.042,G83,1,2
6.3,750,63,14.844 ,0.042,G83,1,2
6.4,750,63,15.080 ,0.042,G83,1,2
6.5,750,61,15.315 ,0.041,G83,1,2
6.6,750,61,15.551 ,0.041,G83,1,2
6.7,750,61,15.786 ,0.041,G83,1,2
6.8,750,61,16.022 ,0.041,G83,1,2
6.9,750,61,16.258 ,0.041,G83,1,2
7,550,60,12.095 ,0.055,G83,1,2
7.1,550,60,12.268 ,0.055,G83,1,2
7.2,550,60,12.441 ,0.055,G83,1,2
7.3,550,60,12.613 ,0.055,G83,1,2
7.4,550,60,12.786 ,0.055,G83,1,2
7.5,550,58,12.959 ,0.053,G83,1,2
7.6,550,58,13.132 ,0.053,G83,1,2
7.7,550,58,13.305 ,0.053,G83,1,2
7.8,550,58,13.477 ,0.053,G83,1,2
7.9,550,58,13.650 ,0.053,G83,1,2
8,500,57,12.566 ,0.057,G83,2,2
8.1,500,57,12.723 ,0.057,G83,2,2
8.2,500,57,12.881 ,0.057,G83,2,2
8.3,500,57,13.038 ,0.057,G83,2,2
8.4,500,57,13.195 ,0.057,G83,2,2
8.5,500,56,13.352 ,0.056,G83,2,2
8.6,500,56,13.509 ,0.056,G83,2,2
8.7,500,56,13.666 ,0.056,G83,2,2
8.8,500,56,13.823 ,0.056,G83,2,2
8.9,500,56,13.980 ,0.056,G83,2,2
9,450,55,12.723 ,0.061,G83,2,2
9.1,450,55,12.865 ,0.061,G83,2,2
9.2,450,55,13.006 ,0.061,G83,2,2
9.3,450,55,13.148 ,0.061,G83,2,2
9.4,450,55,13.289 ,0.061,G83,2,2
9.5,450,55,13.430 ,0.061,G83,2,2
